,YearSchluessel,Year,Stadt-/Landkreis,Mindestsicherungsquote in %,LAND_NAME,LAND_ABK
6534,201306534,2013,Landkreis Marburg-Biedenkopf,6.300000000000001,Hessen,HE
6534,201706534,2017,Landkreis Marburg-Biedenkopf,7.300000000000001,Hessen,HE
6535,201306535,2013,Vogelsbergkreis,5.5,Hessen,HE
6535,201706535,2017,Vogelsbergkreis,6.300000000000001,Hessen,HE
6611,201306611,2013,Kassel,13.8,Hessen,HE
6611,201706611,2017,Kassel,15.700000000000001,Hessen,HE
6631,201306631,2013,Landkreis Fulda,5.6000000000000005,Hessen,HE
6631,201706631,2017,Landkreis Fulda,6.0,Hessen,HE
6632,201306632,2013,Landkreis Hersfeld-Rotenburg,6.2,Hessen,HE
6632,201706632,2017,Landkreis Hersfeld-Rotenburg,6.5,Hessen,HE
6633,201306633,2013,Landkreis Kassel (Land),5.9,Hessen,HE
6633,201706633,2017,Landkreis Kassel (Land),6.6000000000000005,Hessen,HE
6634,201306634,2013,Schwalm-Eder Kreis,6.0,Hessen,HE
6634,201706634,2017,Schwalm-Eder Kreis,6.800000000000001,Hessen,HE
6635,201306635,2013,Landkreis Waldeck-Frankenberg,5.9,Hessen,HE
6635,201706635,2017,Landkreis Waldeck-Frankenberg,6.9,Hessen,HE
6636,201306636,2013,Werra-Meißner Kreis,8.4,Hessen,HE
6636,201706636,2017,Werra-Meißner Kreis,9.0,Hessen,HE
7111,201307111,2013,Koblenz,9.8,Rheinland-Pfalz,RP
7111,201707111,2017,Koblenz,11.4,Rheinland-Pfalz,RP
7131,201307131,2013,Landkreis Ahrweiler,5.1000000000000005,Rheinland-Pfalz,RP
7131,201707131,2017,Landkreis Ahrweiler,6.0,Rheinland-Pfalz,RP
7132,201307132,2013,Landkreis Altenkirchen (Westerwald),6.300000000000001,Rheinland-Pfalz,RP
7132,201707132,2017,Landkreis Altenkirchen (Westerwald),6.300000000000001,Rheinland-Pfalz,RP
7133,201307133,2013,Landkreis Bad Kreuznach,8.0,Rheinland-Pfalz,RP
7133,201707133,2017,Landkreis Bad Kreuznach,8.4,Rheinland-Pfalz,RP
7134,201307134,2013,Landkreis Birkenfeld,7.800000000000001,Rheinland-Pfalz,RP
7134,201707134,2017,Landkreis Birkenfeld,8.1,Rheinland-Pfalz,RP
7135,201307135,2013,Landkreis Cochem-Zell,4.5,Rheinland-Pfalz,RP
7135,201707135,2017,Landkreis Cochem-Zell,5.4,Rheinland-Pfalz,RP
7137,201307137,2013,Landkreis Mayen-Koblenz,6.300000000000001,Rheinland-Pfalz,RP
7137,201707137,2017,Landkreis Mayen-Koblenz,6.7,Rheinland-Pfalz,RP
7138,201307138,2013,Landkreis Neuwied,7.1000000000000005,Rheinland-Pfalz,RP
7138,201707138,2017,Landkreis Neuwied,8.0,Rheinland-Pfalz,RP
7140,201307140,2013,Rhein-Hunsrück-Kreis,4.5,Rheinland-Pfalz,RP
7140,201707140,2017,Rhein-Hunsrück-Kreis,5.4,Rheinland-Pfalz,RP
7141,201307141,2013,Rhein-Lahn-Kreis,5.6000000000000005,Rheinland-Pfalz,RP
7141,201707141,2017,Rhein-Lahn-Kreis,6.4,Rheinland-Pfalz,RP
7143,201307143,2013,Westerwaldkreis,4.800000000000001,Rheinland-Pfalz,RP
7143,201707143,2017,Westerwaldkreis,5.2,Rheinland-Pfalz,RP
7211,201307211,2013,Trier,8.200000000000001,Rheinland-Pfalz,RP
7211,201707211,2017,Trier,11.5,Rheinland-Pfalz,RP
7231,201307231,2013,Landkreis Bernkastel-Wittlich,4.3,Rheinland-Pfalz,RP
7231,201707231,2017,Landkreis Bernkastel-Wittlich,5.2,Rheinland-Pfalz,RP
7232,201307232,2013,Eifelkreis Bitburg-Prüm,3.5,Rheinland-Pfalz,RP
7232,201707232,2017,Eifelkreis Bitburg-Prüm,4.3,Rheinland-Pfalz,RP
7233,201307233,2013,Landkreis Vulkaneifel,4.9,Rheinland-Pfalz,RP
7233,201707233,2017,Landkreis Vulkaneifel,5.2,Rheinland-Pfalz,RP
7235,201307235,2013,Landkreis Trier-Saarburg,3.3000000000000003,Rheinland-Pfalz,RP
7235,201707235,2017,Landkreis Trier-Saarburg,4.0,Rheinland-Pfalz,RP
7311,201307311,2013,Frankenthal (Pfalz),9.600000000000001,Rheinland-Pfalz,RP
7311,201707311,2017,Frankenthal (Pfalz),9.8,Rheinland-Pfalz,RP
7312,201307312,2013,Kaiserslautern,12.8,Rheinland-Pfalz,RP
7312,201707312,2017,Kaiserslautern,14.200000000000001,Rheinland-Pfalz,RP
7313,201307313,2013,Landau in der Pfalz,6.800000000000001,Rheinland-Pfalz,RP
7313,201707313,2017,Landau in der Pfalz,7.9,Rheinland-Pfalz,RP
7314,201307314,2013,Ludwigshafen am Rhein,13.9,Rheinland-Pfalz,RP
7314,201707314,2017,Ludwigshafen am Rhein,14.9,Rheinland-Pfalz,RP
7315,201307315,2013,Mainz,8.5,Rheinland-Pfalz,RP
7315,201707315,2017,Mainz,9.4,Rheinland-Pfalz,RP
7316,201307316,2013,Neustadt an der Weinstrasse,8.0,Rheinland-Pfalz,RP
7316,201707316,2017,Neustadt an der Weinstrasse,9.0,Rheinland-Pfalz,RP
7317,201307317,2013,Pirmasens,14.8,Rheinland-Pfalz,RP
7317,201707317,2017,Pirmasens,16.5,Rheinland-Pfalz,RP
7318,201307318,2013,Speyer,8.4,Rheinland-Pfalz,RP
7318,201707318,2017,Speyer,8.6,Rheinland-Pfalz,RP
7319,201307319,2013,Worms,11.5,Rheinland-Pfalz,RP
7319,201707319,2017,Worms,12.4,Rheinland-Pfalz,RP
7320,201307320,2013,Zweibrücken,9.0,Rheinland-Pfalz,RP
7320,201707320,2017,Zweibrücken,9.600000000000001,Rheinland-Pfalz,RP
7331,201307331,2013,Landkreis Alzey-Worms,5.300000000000001,Rheinland-Pfalz,RP
7331,201707331,2017,Landkreis Alzey-Worms,6.0,Rheinland-Pfalz,RP
7332,201307332,2013,Landkreis Bad Dürkheim,4.7,Rheinland-Pfalz,RP
7332,201707332,2017,Landkreis Bad Dürkheim,5.6000000000000005,Rheinland-Pfalz,RP
7333,201307333,2013,Donnersbergkreis,6.4,Rheinland-Pfalz,RP
7333,201707333,2017,Donnersbergkreis,6.800000000000001,Rheinland-Pfalz,RP
7334,201307334,2013,Landkreis Germersheim,5.5,Rheinland-Pfalz,RP
