,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote in %,LAND_NAME,LAND_ABK
3358,200903358,2009,Landkreis Heidekreis,50.900000000000006,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,60.6,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,57.300000000000004,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,52.300000000000004,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,56.5,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,52.300000000000004,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,48.5,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,61.2,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,57.6,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,53.2,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,53.5,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,54.6,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,50.2,Niedersachsen,NI
3402,201703402,2017,Emden,54.800000000000004,Niedersachsen,NI
3402,201303402,2013,Emden,51.400000000000006,Niedersachsen,NI
3402,200903402,2009,Emden,44.6,Niedersachsen,NI
3403,201703403,2017,Oldenburg,54.6,Niedersachsen,NI
3403,201303403,2013,Oldenburg,51.800000000000004,Niedersachsen,NI
3403,200903403,2009,Oldenburg,45.900000000000006,Niedersachsen,NI
3404,201703404,2017,Osnabrück,56.1,Niedersachsen,NI
3404,201303404,2013,Osnabrück,53.2,Niedersachsen,NI
3404,200903404,2009,Osnabrück,45.900000000000006,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,52.6,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,48.400000000000006,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,42.2,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,60.0,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,56.6,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,51.800000000000004,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,56.2,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,51.800000000000004,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,46.2,Niedersachsen,NI
