,YearSchluessel,Year,Stadt-/Landkreis,Anteil männl. Schulabg. mit allgem. Hochschulreife in %,Anteil männl. Schulabgänger ohne Hauptschulabschl. In %,Anteil männl. Schulabgänger mit Hauptschulabschl. In %,LAND_NAME,LAND_ABK
3251,201703251,2017,Landkreis Diepholz,44.1,66.0,65.2,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,38.5,51.400000000000006,57.7,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,50.7,53.6,55.7,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,49.7,68.0,56.5,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,46.300000000000004,59.800000000000004,56.7,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,48.0,59.1,66.5,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,43.400000000000006,56.800000000000004,61.900000000000006,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,39.800000000000004,56.1,62.0,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,48.1,60.0,62.300000000000004,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,48.800000000000004,59.300000000000004,55.800000000000004,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),38.900000000000006,50.7,60.7,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),45.400000000000006,70.5,66.2,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),44.0,62.2,63.2,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,43.800000000000004,63.800000000000004,59.5,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,43.300000000000004,61.300000000000004,58.6,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,41.400000000000006,66.7,62.400000000000006,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,42.0,60.6,57.300000000000004,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,44.6,60.5,54.7,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,45.5,63.400000000000006,52.2,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,45.6,65.9,61.2,Niedersachsen,NI
