,YearSchluessel,Year,Stadt-/Landkreis,Altenquotient,Jugendquotient,Gesamtquotient,LAND_NAME,LAND_ABK
2000,200502,2005,Hamburg,28.5,27.6,56.1,Hamburg,HH
2000,200902,2009,Hamburg,29.700000000000003,27.1,56.900000000000006,Hamburg,HH
2000,201302,2013,Hamburg,29.900000000000002,27.900000000000002,57.800000000000004,Hamburg,HH
2000,201702,2017,Hamburg,29.1,29.200000000000003,58.300000000000004,Hamburg,HH
3101,199503101,1995,Braunschweig,29.0,27.1,56.1,Niedersachsen,NI
3101,200003101,2000,Braunschweig,29.8,27.6,57.400000000000006,Niedersachsen,NI
3101,200503101,2005,Braunschweig,33.0,27.3,60.2,Niedersachsen,NI
3101,200903101,2009,Braunschweig,34.300000000000004,26.900000000000002,61.2,Niedersachsen,NI
3101,201303101,2013,Braunschweig,33.300000000000004,26.1,59.5,Niedersachsen,NI
3101,201703101,2017,Braunschweig,33.7,26.400000000000002,60.1,Niedersachsen,NI
3102,199503102,1995,Salzgitter,26.900000000000002,33.800000000000004,60.6,Niedersachsen,NI
3102,200003102,2000,Salzgitter,31.1,35.1,66.10000000000001,Niedersachsen,NI
3102,200503102,2005,Salzgitter,37.800000000000004,35.300000000000004,73.10000000000001,Niedersachsen,NI
3102,200903102,2009,Salzgitter,40.6,33.6,74.10000000000001,Niedersachsen,NI
3102,201303102,2013,Salzgitter,41.5,32.1,73.7,Niedersachsen,NI
3102,201703102,2017,Salzgitter,39.6,34.4,74.10000000000001,Niedersachsen,NI
3103,199503103,1995,Wolfsburg,25.8,32.800000000000004,58.6,Niedersachsen,NI
3103,200003103,2000,Wolfsburg,30.900000000000002,32.0,62.900000000000006,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,38.0,31.5,69.5,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,40.5,30.3,70.8,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,37.2,28.5,65.7,Niedersachsen,NI
3103,201703103,2017,Wolfsburg,37.5,30.3,67.8,Niedersachsen,NI
3151,199503151,1995,Landkreis Gifhorn,21.3,40.900000000000006,62.1,Niedersachsen,NI
3151,200003151,2000,Landkreis Gifhorn,23.3,41.400000000000006,64.7,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,28.0,40.6,68.60000000000001,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,30.900000000000002,37.7,68.60000000000001,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,30.700000000000003,33.9,64.7,Niedersachsen,NI
3151,201703151,2017,Landkreis Gifhorn,33.0,33.6,66.60000000000001,Niedersachsen,NI
3153,199503153,1995,Landkreis Goslar,34.1,30.0,64.2,Niedersachsen,NI
3153,200003153,2000,Landkreis Goslar,36.5,31.0,67.5,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,43.0,31.200000000000003,74.10000000000001,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,46.2,29.3,75.5,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,46.6,27.5,74.10000000000001,Niedersachsen,NI
3153,201703153,2017,Landkreis Goslar,47.6,27.6,75.10000000000001,Niedersachsen,NI
3154,199503154,1995,Landkreis Helmstedt,29.8,34.9,64.7,Niedersachsen,NI
3154,200003154,2000,Landkreis Helmstedt,31.8,35.7,67.5,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,36.800000000000004,34.7,71.5,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,38.900000000000006,32.0,70.9,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,39.0,29.200000000000003,68.2,Niedersachsen,NI
3154,201703154,2017,Landkreis Helmstedt,39.400000000000006,30.0,69.4,Niedersachsen,NI
3155,199503155,1995,Landkreis Northeim,31.1,34.9,65.9,Niedersachsen,NI
3155,200003155,2000,Landkreis Northeim,33.4,35.7,69.10000000000001,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,39.300000000000004,35.6,75.0,Niedersachsen,NI
