,YearSchluessel,Year,Stadt-/Landkreis,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
3252,200503252,2005,Landkreis Hameln-Pyrmont,24137.0,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,27672.0,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,30499.0,Niedersachsen,NI
3252,201603252,2016,Landkreis Hameln-Pyrmont,32843.0,Niedersachsen,NI
3254,200003254,2000,Landkreis Hildesheim,19337.0,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,21033.0,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,21757.0,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,24922.0,Niedersachsen,NI
3254,201603254,2016,Landkreis Hildesheim,27137.0,Niedersachsen,NI
3255,200003255,2000,Landkreis Holzminden,19985.0,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,19675.0,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,22304.0,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,27922.0,Niedersachsen,NI
3255,201603255,2016,Landkreis Holzminden,30057.0,Niedersachsen,NI
3256,200003256,2000,Landkreis Nienburg (Weser),21155.0,Niedersachsen,NI
3256,200503256,2005,Landkreis Nienburg (Weser),19928.0,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),21902.0,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),27874.0,Niedersachsen,NI
3256,201603256,2016,Landkreis Nienburg (Weser),29267.0,Niedersachsen,NI
3257,200003257,2000,Landkreis Schaumburg,17811.0,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,17698.0,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,18478.0,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,21845.0,Niedersachsen,NI
3257,201603257,2016,Landkreis Schaumburg,24110.0,Niedersachsen,NI
3351,200003351,2000,Landkreis Celle,22285.0,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,19461.0,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,23133.0,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,27006.0,Niedersachsen,NI
3351,201603351,2016,Landkreis Celle,28469.0,Niedersachsen,NI
3352,200003352,2000,Landkreis Cuxhaven,14543.0,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,15238.0,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,16710.0,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,20590.0,Niedersachsen,NI
3352,201603352,2016,Landkreis Cuxhaven,21509.0,Niedersachsen,NI
3353,200003353,2000,Landkreis Harburg,15643.0,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,16114.0,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,18404.0,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,21264.0,Niedersachsen,NI
3353,201603353,2016,Landkreis Harburg,23393.0,Niedersachsen,NI
3354,200003354,2000,Landkreis Lüchow-Dannenberg,15656.0,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,16841.0,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,17669.0,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,21988.0,Niedersachsen,NI
3354,201603354,2016,Landkreis Lüchow-Dannenberg,24523.0,Niedersachsen,NI
3355,200003355,2000,Landkreis Lüneburg,18870.0,Niedersachsen,NI
3355,200503355,2005,Landkreis Lüneburg,19911.0,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,20848.0,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,24255.0,Niedersachsen,NI
3355,201603355,2016,Landkreis Lüneburg,26597.0,Niedersachsen,NI
3356,200003356,2000,Landkreis Osterholz,14379.0,Niedersachsen,NI
3356,200503356,2005,Landkreis Osterholz,15196.0,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,16214.0,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,17870.0,Niedersachsen,NI
3356,201603356,2016,Landkreis Osterholz,19735.0,Niedersachsen,NI
3357,200003357,2000,Landkreis Rotenburg (Wümme),19331.0,Niedersachsen,NI
3357,200503357,2005,Landkreis Rotenburg (Wümme),20068.0,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),23577.0,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),29878.0,Niedersachsen,NI
3357,201603357,2016,Landkreis Rotenburg (Wümme),31552.0,Niedersachsen,NI
3358,200003358,2000,Landkreis Heidekreis,21530.0,Niedersachsen,NI
3358,200503358,2005,Landkreis Heidekreis,23879.0,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,26254.0,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,28797.0,Niedersachsen,NI
3358,201603358,2016,Landkreis Heidekreis,30694.0,Niedersachsen,NI
3359,200003359,2000,Landkreis Stade,22316.0,Niedersachsen,NI
3359,200503359,2005,Landkreis Stade,24606.0,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,24756.0,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,27616.0,Niedersachsen,NI
3359,201603359,2016,Landkreis Stade,30357.0,Niedersachsen,NI
3360,200003360,2000,Landkreis Uelzen,17327.0,Niedersachsen,NI
3360,200503360,2005,Landkreis Uelzen,17980.0,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,20970.0,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,24090.0,Niedersachsen,NI
3360,201603360,2016,Landkreis Uelzen,26309.0,Niedersachsen,NI
3361,200003361,2000,Landkreis Verden,22252.0,Niedersachsen,NI
3361,200503361,2005,Landkreis Verden,21501.0,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,24370.0,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,28396.0,Niedersachsen,NI
3361,201603361,2016,Landkreis Verden,29941.0,Niedersachsen,NI
3401,200003401,2000,Delmenhorst,16086.0,Niedersachsen,NI
3401,200503401,2005,Delmenhorst,17856.0,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,19522.0,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,20745.0,Niedersachsen,NI
3401,201603401,2016,Delmenhorst,22502.0,Niedersachsen,NI
3402,200003402,2000,Emden,45059.0,Niedersachsen,NI
3402,200503402,2005,Emden,42332.0,Niedersachsen,NI
3402,200903402,2009,Emden,42859.0,Niedersachsen,NI
3402,201303402,2013,Emden,57075.0,Niedersachsen,NI
3402,201603402,2016,Emden,70448.0,Niedersachsen,NI
3403,200003403,2000,Oldenburg,34435.0,Niedersachsen,NI
3403,200503403,2005,Oldenburg,35570.0,Niedersachsen,NI
3403,200903403,2009,Oldenburg,40891.0,Niedersachsen,NI
3403,201303403,2013,Oldenburg,40332.0,Niedersachsen,NI
3403,201603403,2016,Oldenburg,43934.0,Niedersachsen,NI
3404,200003404,2000,Osnabrück,39398.0,Niedersachsen,NI
3404,200503404,2005,Osnabrück,39865.0,Niedersachsen,NI
3404,200903404,2009,Osnabrück,39848.0,Niedersachsen,NI
3404,201303404,2013,Osnabrück,45572.0,Niedersachsen,NI
3404,201603404,2016,Osnabrück,48732.0,Niedersachsen,NI
3405,200003405,2000,Wilhelmshaven,30885.0,Niedersachsen,NI
3405,200503405,2005,Wilhelmshaven,30303.0,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,36039.0,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,36899.0,Niedersachsen,NI
3405,201603405,2016,Wilhelmshaven,38804.0,Niedersachsen,NI
3451,200003451,2000,Landkreis Ammerland,18659.0,Niedersachsen,NI
3451,200503451,2005,Landkreis Ammerland,18981.0,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,21979.0,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,26168.0,Niedersachsen,NI
3451,201603451,2016,Landkreis Ammerland,27862.0,Niedersachsen,NI
3452,200003452,2000,Landkreis Aurich,16026.0,Niedersachsen,NI
3452,200503452,2005,Landkreis Aurich,16616.0,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,18676.0,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,22689.0,Niedersachsen,NI
3452,201603452,2016,Landkreis Aurich,25464.0,Niedersachsen,NI
3453,200003453,2000,Landkreis Cloppenburg,20097.0,Niedersachsen,NI
3453,200503453,2005,Landkreis Cloppenburg,21708.0,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,24872.0,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,29865.0,Niedersachsen,NI
3453,201603453,2016,Landkreis Cloppenburg,32209.0,Niedersachsen,NI
3454,200003454,2000,Landkreis Emsland,24867.0,Niedersachsen,NI
3454,200503454,2005,Landkreis Emsland,27467.0,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,31776.0,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,36757.0,Niedersachsen,NI
3454,201603454,2016,Landkreis Emsland,39728.0,Niedersachsen,NI
3455,200003455,2000,Landkreis Friesland,19751.0,Niedersachsen,NI
3455,200503455,2005,Landkreis Friesland,19123.0,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,19337.0,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,22382.0,Niedersachsen,NI
3455,201603455,2016,Landkreis Friesland,26109.0,Niedersachsen,NI
3456,200003456,2000,Landkreis Grafschaft Bentheim,20589.0,Niedersachsen,NI
3456,200503456,2005,Landkreis Grafschaft Bentheim,19460.0,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,22874.0,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,29048.0,Niedersachsen,NI
3456,201603456,2016,Landkreis Grafschaft Bentheim,29701.0,Niedersachsen,NI
3457,200003457,2000,Landkreis Leer,17337.0,Niedersachsen,NI
3457,200503457,2005,Landkreis Leer,18748.0,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,23477.0,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,27007.0,Niedersachsen,NI
3457,201603457,2016,Landkreis Leer,27338.0,Niedersachsen,NI
3458,200003458,2000,Landkreis Oldenburg (Land),16450.0,Niedersachsen,NI
3458,200503458,2005,Landkreis Oldenburg (Land),16536.0,Niedersachsen,NI
