,YearSchluessel,Year,Stadt-/Landkreis,Arbeitslosenquote in %,Anteil Arbeitslose 15-24 Jahre an Arbeitsl. insg. In %,Anteil Arbeitslose 55-64 Jahre an Arbeitsl. insg. In %,Anteil Langzeitarbeitslose an Arbeitslosen insg. In %,Anteil arbeitslose Ausländer an Arbeitslosen insg. In %,LAND_NAME,LAND_ABK
3153,201703153,2017,Landkreis Goslar,7.1000000000000005,10.200000000000001,21.900000000000002,36.0,17.400000000000002,Niedersachsen,NI
3154,200103154,2001,Landkreis Helmstedt,11.600000000000001,13.0,21.0,44.2,9.1,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,12.5,12.600000000000001,11.5,39.2,8.1,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,9.1,11.600000000000001,13.9,36.1,9.0,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,7.5,9.700000000000001,17.8,43.5,8.9,Niedersachsen,NI
3154,201703154,2017,Landkreis Helmstedt,6.9,10.200000000000001,21.3,41.6,17.7,Niedersachsen,NI
3155,200103155,2001,Landkreis Northeim,10.700000000000001,12.3,16.2,34.300000000000004,7.9,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,12.0,12.600000000000001,9.9,37.5,7.7,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,8.6,10.8,13.9,32.9,8.9,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,7.300000000000001,9.9,19.700000000000003,36.300000000000004,9.3,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,5.800000000000001,11.0,21.6,26.0,16.5,Niedersachsen,NI
3156,200103156,2001,Landkreis Osterode am Harz,12.4,11.100000000000001,18.1,37.4,7.800000000000001,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,14.700000000000001,17.400000000000002,11.9,,7.800000000000001,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,11.200000000000001,12.100000000000001,12.4,36.9,7.800000000000001,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,7.800000000000001,9.3,18.400000000000002,37.0,8.700000000000001,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,,,,,Niedersachsen,NI
3157,200103157,2001,Landkreis Peine,9.4,12.0,19.400000000000002,35.800000000000004,8.9,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,11.0,11.9,13.100000000000001,,9.5,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,7.7,11.700000000000001,11.600000000000001,36.300000000000004,10.3,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,6.0,10.4,20.6,26.6,9.5,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,5.300000000000001,11.200000000000001,19.5,28.3,24.400000000000002,Niedersachsen,NI
3158,200103158,2001,Landkreis Wolfenbüttel,9.700000000000001,11.9,19.900000000000002,39.2,6.6000000000000005,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,10.5,12.100000000000001,10.8,40.1,8.1,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,7.0,9.9,15.600000000000001,31.1,8.4,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,6.2,9.200000000000001,20.700000000000003,36.7,10.9,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,5.5,10.700000000000001,23.3,35.800000000000004,17.3,Niedersachsen,NI
3159,200103159,2001,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,5.9,10.4,18.1,39.300000000000004,19.8,Niedersachsen,NI
3241,200103241,2001,Hannover,9.700000000000001,11.0,19.6,32.5,23.200000000000003,Niedersachsen,NI
3241,200503241,2005,Hannover,14.100000000000001,13.0,9.700000000000001,34.2,21.900000000000002,Niedersachsen,NI
3241,200903241,2009,Hannover,9.3,9.9,12.8,16.900000000000002,22.700000000000003,Niedersachsen,NI
3241,201303241,2013,Hannover,8.200000000000001,9.5,17.1,41.300000000000004,24.8,Niedersachsen,NI
3241,201703241,2017,Hannover,7.1000000000000005,9.1,18.2,16.0,32.9,Niedersachsen,NI
3251,200103251,2001,Landkreis Diepholz,6.2,12.0,18.900000000000002,26.200000000000003,8.1,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,8.4,13.3,10.600000000000001,28.3,8.4,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,5.300000000000001,12.5,14.4,26.0,9.1,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,4.6000000000000005,11.9,18.5,28.8,11.4,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,4.2,12.4,19.5,29.700000000000003,22.3,Niedersachsen,NI
3252,200103252,2001,Landkreis Hameln-Pyrmont,11.200000000000001,11.9,19.3,33.9,16.3,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,14.3,12.8,10.600000000000001,37.1,15.700000000000001,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,9.200000000000001,10.0,13.200000000000001,32.9,14.5,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,8.200000000000001,11.4,18.400000000000002,37.6,15.4,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,6.800000000000001,10.0,20.5,39.1,26.200000000000003,Niedersachsen,NI
3254,200103254,2001,Landkreis Hildesheim,8.8,12.200000000000001,21.200000000000003,33.9,9.8,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,11.600000000000001,13.700000000000001,10.8,33.7,11.3,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,8.5,11.100000000000001,13.0,35.9,11.600000000000001,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,7.6000000000000005,10.200000000000001,17.8,40.6,12.700000000000001,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,6.4,10.0,21.3,39.7,22.200000000000003,Niedersachsen,NI
3255,200103255,2001,Landkreis Holzminden,9.9,12.8,17.8,32.1,8.200000000000001,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,14.600000000000001,11.600000000000001,11.200000000000001,37.0,8.8,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,9.1,11.100000000000001,13.700000000000001,29.0,7.800000000000001,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,8.3,10.3,18.900000000000002,37.0,9.0,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,6.7,10.600000000000001,21.5,38.800000000000004,18.8,Niedersachsen,NI
3256,200103256,2001,Landkreis Nienburg (Weser),7.4,13.5,16.2,22.8,9.200000000000001,Niedersachsen,NI
3256,200503256,2005,Landkreis Nienburg (Weser),11.0,14.100000000000001,10.200000000000001,28.200000000000003,9.4,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),7.5,13.5,12.100000000000001,74.0,14.8,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),6.2,11.3,20.200000000000003,32.0,11.200000000000001,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),5.300000000000001,13.3,20.8,32.1,22.400000000000002,Niedersachsen,NI
3257,200103257,2001,Landkreis Schaumburg,8.3,12.700000000000001,19.3,32.2,13.9,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,12.200000000000001,12.700000000000001,11.600000000000001,36.1,13.200000000000001,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,8.6,10.600000000000001,14.0,34.2,13.4,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,6.9,11.100000000000001,20.700000000000003,32.5,13.5,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,6.0,12.8,19.5,33.4,24.700000000000003,Niedersachsen,NI
3351,200103351,2001,Landkreis Celle,10.0,14.8,17.900000000000002,33.1,10.0,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,12.200000000000001,14.200000000000001,9.5,33.300000000000004,10.0,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,8.4,11.9,12.9,34.5,11.100000000000001,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,7.5,11.200000000000001,18.400000000000002,39.1,11.8,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,7.1000000000000005,11.0,20.700000000000003,37.6,19.700000000000003,Niedersachsen,NI
3352,200103352,2001,Landkreis Cuxhaven,8.9,12.3,17.6,33.1,8.3,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,12.200000000000001,13.200000000000001,11.4,33.2,9.200000000000001,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,7.0,11.0,14.0,38.300000000000004,10.100000000000001,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,6.2,10.8,20.6,35.5,11.100000000000001,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,5.5,10.600000000000001,21.5,40.0,18.0,Niedersachsen,NI
3353,200103353,2001,Landkreis Harburg,6.7,11.4,24.3,32.800000000000004,8.3,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,7.9,13.100000000000001,13.0,30.6,10.100000000000001,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,5.2,12.3,14.3,22.700000000000003,11.0,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,4.800000000000001,10.100000000000001,21.900000000000002,34.5,12.8,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,4.1000000000000005,10.5,24.8,30.5,20.400000000000002,Niedersachsen,NI
3354,200103354,2001,Landkreis Lüchow-Dannenberg,14.8,11.200000000000001,14.600000000000001,44.1,3.6,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,16.3,13.200000000000001,9.200000000000001,42.400000000000006,4.7,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,11.600000000000001,10.4,12.700000000000001,37.300000000000004,4.800000000000001,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,10.700000000000001,9.700000000000001,18.400000000000002,38.2,6.0,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,8.1,10.8,21.400000000000002,42.800000000000004,10.8,Niedersachsen,NI
3355,200103355,2001,Landkreis Lüneburg,9.700000000000001,13.700000000000001,14.0,32.800000000000004,7.9,Niedersachsen,NI
3355,200503355,2005,Landkreis Lüneburg,11.3,11.3,9.9,38.5,8.200000000000001,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,7.5,9.1,11.3,29.700000000000003,8.8,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,6.6000000000000005,9.200000000000001,17.2,31.3,9.5,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,5.6000000000000005,10.700000000000001,19.700000000000003,29.700000000000003,18.900000000000002,Niedersachsen,NI
3356,200103356,2001,Landkreis Osterholz,7.0,12.4,21.400000000000002,32.6,7.5,Niedersachsen,NI
