,YearSchluessel,Year,Stadt-/Landkreis,Unternehmensinsolvenzen je 10.000 st.-pfl. Untern.,LAND_NAME,LAND_ABK
3359,201703359,2017,Landkreis Stade,68.2,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,43.7,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,68.3,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,52.800000000000004,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,133.4,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,73.8,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,65.5,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,114.80000000000001,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,102.7,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,185.4,Niedersachsen,NI
3402,200903402,2009,Emden,114.2,Niedersachsen,NI
3402,201303402,2013,Emden,97.80000000000001,Niedersachsen,NI
3402,201703402,2017,Emden,43.1,Niedersachsen,NI
3403,200903403,2009,Oldenburg,99.80000000000001,Niedersachsen,NI
3403,201303403,2013,Oldenburg,80.60000000000001,Niedersachsen,NI
3403,201703403,2017,Oldenburg,52.7,Niedersachsen,NI
3404,200903404,2009,Osnabrück,81.4,Niedersachsen,NI
3404,201303404,2013,Osnabrück,87.30000000000001,Niedersachsen,NI
3404,201703404,2017,Osnabrück,68.60000000000001,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,102.2,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,116.9,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,47.0,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,95.80000000000001,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,83.30000000000001,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,65.3,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,69.7,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,75.0,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,37.2,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,87.5,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,66.0,Niedersachsen,NI
3453,201703453,2017,Landkreis Cloppenburg,49.5,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,96.10000000000001,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,86.10000000000001,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,60.1,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,72.7,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,44.1,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,46.300000000000004,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,84.80000000000001,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,61.6,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,66.0,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,57.300000000000004,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,75.3,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,94.9,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),84.5,Niedersachsen,NI
