,YearSchluessel,Year,Stadt-/Landkreis,Anteil neue Wohngebäude mit 1 oder 2 Wohnungen in Prozent,LAND_NAME,LAND_ABK
3102,201703102,2017,Salzgitter,93.4,Niedersachsen,NI
3103,199503103,1995,Wolfsburg,92.60000000000001,Niedersachsen,NI
3103,200003103,2000,Wolfsburg,90.2,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,94.2,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,97.2,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,91.4,Niedersachsen,NI
3103,201703103,2017,Wolfsburg,87.10000000000001,Niedersachsen,NI
3151,199503151,1995,Landkreis Gifhorn,92.7,Niedersachsen,NI
3151,200003151,2000,Landkreis Gifhorn,97.60000000000001,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,98.7,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,96.10000000000001,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,97.10000000000001,Niedersachsen,NI
3151,201703151,2017,Landkreis Gifhorn,93.80000000000001,Niedersachsen,NI
3153,199503153,1995,Landkreis Goslar,91.10000000000001,Niedersachsen,NI
3153,200003153,2000,Landkreis Goslar,94.9,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,91.5,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,92.10000000000001,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,97.7,Niedersachsen,NI
3153,201703153,2017,Landkreis Goslar,100.0,Niedersachsen,NI
3154,199503154,1995,Landkreis Helmstedt,92.7,Niedersachsen,NI
3154,200003154,2000,Landkreis Helmstedt,95.2,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,96.9,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,100.0,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,100.0,Niedersachsen,NI
3154,201703154,2017,Landkreis Helmstedt,95.5,Niedersachsen,NI
3155,199503155,1995,Landkreis Northeim,90.0,Niedersachsen,NI
3155,200003155,2000,Landkreis Northeim,97.2,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,98.2,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,96.9,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,98.10000000000001,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,88.7,Niedersachsen,NI
3156,199503156,1995,Landkreis Osterode am Harz,84.2,Niedersachsen,NI
3156,200003156,2000,Landkreis Osterode am Harz,94.9,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,97.60000000000001,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,100.0,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,95.0,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,Niedersachsen,NI
3157,199503157,1995,Landkreis Peine,89.30000000000001,Niedersachsen,NI
3157,200003157,2000,Landkreis Peine,95.9,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,96.80000000000001,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,96.10000000000001,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,96.2,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,88.30000000000001,Niedersachsen,NI
3158,199503158,1995,Landkreis Wolfenbüttel,91.4,Niedersachsen,NI
3158,200003158,2000,Landkreis Wolfenbüttel,97.7,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,98.0,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,96.5,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,97.80000000000001,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,99.4,Niedersachsen,NI
3159,199503159,1995,Landkreis Göttingen,,Niedersachsen,NI
3159,200003159,2000,Landkreis Göttingen,,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,86.5,Niedersachsen,NI
3241,199503241,1995,Hannover,81.0,Niedersachsen,NI
3241,200003241,2000,Hannover,91.9,Niedersachsen,NI
3241,200503241,2005,Hannover,96.30000000000001,Niedersachsen,NI
3241,200903241,2009,Hannover,95.9,Niedersachsen,NI
3241,201303241,2013,Hannover,94.10000000000001,Niedersachsen,NI
3241,201703241,2017,Hannover,88.60000000000001,Niedersachsen,NI
3251,199503251,1995,Landkreis Diepholz,82.80000000000001,Niedersachsen,NI
3251,200003251,2000,Landkreis Diepholz,95.9,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,96.10000000000001,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,93.0,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,89.30000000000001,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,88.30000000000001,Niedersachsen,NI
3252,199503252,1995,Landkreis Hameln-Pyrmont,83.5,Niedersachsen,NI
3252,200003252,2000,Landkreis Hameln-Pyrmont,97.5,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,96.7,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,98.2,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,95.80000000000001,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,95.7,Niedersachsen,NI
3254,199503254,1995,Landkreis Hildesheim,86.5,Niedersachsen,NI
3254,200003254,2000,Landkreis Hildesheim,95.4,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,98.2,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,96.2,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,94.2,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,92.2,Niedersachsen,NI
3255,199503255,1995,Landkreis Holzminden,81.60000000000001,Niedersachsen,NI
3255,200003255,2000,Landkreis Holzminden,93.5,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,97.10000000000001,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,95.7,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,100.0,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,100.0,Niedersachsen,NI
3256,199503256,1995,Landkreis Nienburg (Weser),88.0,Niedersachsen,NI
3256,200003256,2000,Landkreis Nienburg (Weser),98.0,Niedersachsen,NI
3256,200503256,2005,Landkreis Nienburg (Weser),98.5,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),98.9,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),93.2,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),95.2,Niedersachsen,NI
3257,199503257,1995,Landkreis Schaumburg,85.60000000000001,Niedersachsen,NI
3257,200003257,2000,Landkreis Schaumburg,94.9,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,98.5,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,95.5,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,96.4,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,95.2,Niedersachsen,NI
3351,199503351,1995,Landkreis Celle,88.7,Niedersachsen,NI
3351,200003351,2000,Landkreis Celle,97.30000000000001,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,97.7,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,99.0,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,93.5,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,94.30000000000001,Niedersachsen,NI
3352,199503352,1995,Landkreis Cuxhaven,87.5,Niedersachsen,NI
3352,200003352,2000,Landkreis Cuxhaven,94.10000000000001,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,96.2,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,94.30000000000001,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,92.4,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,92.4,Niedersachsen,NI
3353,199503353,1995,Landkreis Harburg,90.80000000000001,Niedersachsen,NI
3353,200003353,2000,Landkreis Harburg,95.80000000000001,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,97.10000000000001,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,96.9,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,95.7,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,91.9,Niedersachsen,NI
3354,199503354,1995,Landkreis Lüchow-Dannenberg,94.7,Niedersachsen,NI
3354,200003354,2000,Landkreis Lüchow-Dannenberg,96.80000000000001,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,96.9,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,100.0,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,100.0,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,96.2,Niedersachsen,NI
3355,199503355,1995,Landkreis Lüneburg,91.80000000000001,Niedersachsen,NI
3355,200003355,2000,Landkreis Lüneburg,95.30000000000001,Niedersachsen,NI
3355,200503355,2005,Landkreis Lüneburg,94.80000000000001,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,93.2,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,93.5,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,88.9,Niedersachsen,NI
3356,199503356,1995,Landkreis Osterholz,92.30000000000001,Niedersachsen,NI
3356,200003356,2000,Landkreis Osterholz,93.9,Niedersachsen,NI
3356,200503356,2005,Landkreis Osterholz,97.30000000000001,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,97.7,Niedersachsen,NI
