,YearSchluessel,Year,Stadt-/Landkreis,Gewerbeanmeldungen je 10.000 Einwohner,LAND_NAME,LAND_ABK
3354,200903354,2009,Landkreis Lüchow-Dannenberg,72.2,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,59.6,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,69.60000000000001,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,98.80000000000001,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,89.9,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,80.5,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,85.0,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,73.10000000000001,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,61.0,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),89.10000000000001,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),70.0,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),66.7,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,90.10000000000001,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,78.80000000000001,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,69.4,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,87.0,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,87.30000000000001,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,69.3,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,78.30000000000001,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,69.2,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,65.8,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,93.7,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,72.0,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,68.5,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,87.2,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,70.3,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,60.400000000000006,Niedersachsen,NI
3402,200903402,2009,Emden,50.6,Niedersachsen,NI
3402,201303402,2013,Emden,63.7,Niedersachsen,NI
3402,201703402,2017,Emden,53.400000000000006,Niedersachsen,NI
3403,200903403,2009,Oldenburg,94.5,Niedersachsen,NI
3403,201303403,2013,Oldenburg,84.80000000000001,Niedersachsen,NI
3403,201703403,2017,Oldenburg,75.2,Niedersachsen,NI
3404,200903404,2009,Osnabrück,106.7,Niedersachsen,NI
3404,201303404,2013,Osnabrück,90.10000000000001,Niedersachsen,NI
3404,201703404,2017,Osnabrück,77.80000000000001,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,67.3,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,81.4,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,68.5,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,96.5,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,75.8,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,73.3,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,78.4,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,71.0,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,69.60000000000001,Niedersachsen,NI
