,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10.000 Einwohner,LAND_NAME,LAND_ABK
3151,201303151,2013,Landkreis Gifhorn,40.900000000000006,Niedersachsen,NI
3151,201703151,2017,Landkreis Gifhorn,26.6,Niedersachsen,NI
3153,199503153,1995,Landkreis Goslar,5.7,Niedersachsen,NI
3153,200003153,2000,Landkreis Goslar,1.3,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,-26.200000000000003,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,-26.1,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,32.0,Niedersachsen,NI
3153,201703153,2017,Landkreis Goslar,53.7,Niedersachsen,NI
3154,199503154,1995,Landkreis Helmstedt,33.4,Niedersachsen,NI
3154,200003154,2000,Landkreis Helmstedt,-23.700000000000003,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,-25.3,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,-41.2,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,66.60000000000001,Niedersachsen,NI
3154,201703154,2017,Landkreis Helmstedt,15.8,Niedersachsen,NI
3155,199503155,1995,Landkreis Northeim,39.400000000000006,Niedersachsen,NI
3155,200003155,2000,Landkreis Northeim,-23.400000000000002,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,-25.200000000000003,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,-60.1,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,9.8,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,26.6,Niedersachsen,NI
3156,199503156,1995,Landkreis Osterode am Harz,31.8,Niedersachsen,NI
3156,200003156,2000,Landkreis Osterode am Harz,-34.6,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,-18.2,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,-63.900000000000006,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,-14.700000000000001,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,Niedersachsen,NI
3157,199503157,1995,Landkreis Peine,94.0,Niedersachsen,NI
3157,200003157,2000,Landkreis Peine,73.9,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,31.400000000000002,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,-2.3000000000000003,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,55.6,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,58.900000000000006,Niedersachsen,NI
3158,199503158,1995,Landkreis Wolfenbüttel,56.2,Niedersachsen,NI
3158,200003158,2000,Landkreis Wolfenbüttel,104.5,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,-25.6,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,-25.6,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,39.7,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,4.4,Niedersachsen,NI
3159,199503159,1995,Landkreis Göttingen,,Niedersachsen,NI
3159,200003159,2000,Landkreis Göttingen,,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,73.3,Niedersachsen,NI
