,YearSchluessel,Year,Stadt-/Landkreis,BIP je Arbeitsstunde in EUR,LAND_NAME,LAND_ABK
3256,201603256,2016,Landkreis Nienburg (Weser),46.900000000000006,Niedersachsen,NI
3257,200003257,2000,Landkreis Schaumburg,34.5,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,35.7,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,36.7,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,41.900000000000006,Niedersachsen,NI
3257,201603257,2016,Landkreis Schaumburg,45.0,Niedersachsen,NI
3351,200003351,2000,Landkreis Celle,36.800000000000004,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,32.9,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,39.2,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,44.400000000000006,Niedersachsen,NI
3351,201603351,2016,Landkreis Celle,45.900000000000006,Niedersachsen,NI
3352,200003352,2000,Landkreis Cuxhaven,31.0,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,34.2,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,37.800000000000004,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,42.400000000000006,Niedersachsen,NI
3352,201603352,2016,Landkreis Cuxhaven,45.1,Niedersachsen,NI
3353,200003353,2000,Landkreis Harburg,32.1,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,34.800000000000004,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,37.4,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,42.5,Niedersachsen,NI
3353,201603353,2016,Landkreis Harburg,46.5,Niedersachsen,NI
3354,200003354,2000,Landkreis Lüchow-Dannenberg,27.400000000000002,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,32.4,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,36.7,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,40.900000000000006,Niedersachsen,NI
3354,201603354,2016,Landkreis Lüchow-Dannenberg,45.5,Niedersachsen,NI
3355,200003355,2000,Landkreis Lüneburg,30.5,Niedersachsen,NI
3355,200503355,2005,Landkreis Lüneburg,33.9,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,36.6,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,40.0,Niedersachsen,NI
3355,201603355,2016,Landkreis Lüneburg,43.6,Niedersachsen,NI
3356,200003356,2000,Landkreis Osterholz,31.0,Niedersachsen,NI
3356,200503356,2005,Landkreis Osterholz,33.6,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,35.2,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,39.400000000000006,Niedersachsen,NI
3356,201603356,2016,Landkreis Osterholz,44.1,Niedersachsen,NI
3357,200003357,2000,Landkreis Rotenburg (Wümme),30.6,Niedersachsen,NI
3357,200503357,2005,Landkreis Rotenburg (Wümme),32.9,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),37.7,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),44.5,Niedersachsen,NI
3357,201603357,2016,Landkreis Rotenburg (Wümme),46.5,Niedersachsen,NI
3358,200003358,2000,Landkreis Heidekreis,34.1,Niedersachsen,NI
3358,200503358,2005,Landkreis Heidekreis,36.5,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,37.9,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,41.400000000000006,Niedersachsen,NI
3358,201603358,2016,Landkreis Heidekreis,44.6,Niedersachsen,NI
3359,200003359,2000,Landkreis Stade,36.800000000000004,Niedersachsen,NI
3359,200503359,2005,Landkreis Stade,42.7,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,43.1,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,45.900000000000006,Niedersachsen,NI
3359,201603359,2016,Landkreis Stade,51.6,Niedersachsen,NI
3360,200003360,2000,Landkreis Uelzen,28.400000000000002,Niedersachsen,NI
3360,200503360,2005,Landkreis Uelzen,32.0,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,37.1,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,40.0,Niedersachsen,NI
3360,201603360,2016,Landkreis Uelzen,43.300000000000004,Niedersachsen,NI
3361,200003361,2000,Landkreis Verden,34.4,Niedersachsen,NI
3361,200503361,2005,Landkreis Verden,34.800000000000004,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,40.5,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,45.6,Niedersachsen,NI
3361,201603361,2016,Landkreis Verden,48.1,Niedersachsen,NI
3401,200003401,2000,Delmenhorst,29.700000000000003,Niedersachsen,NI
3401,200503401,2005,Delmenhorst,32.4,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,34.7,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,37.6,Niedersachsen,NI
3401,201603401,2016,Delmenhorst,42.1,Niedersachsen,NI
3402,200003402,2000,Emden,38.800000000000004,Niedersachsen,NI
3402,200503402,2005,Emden,40.7,Niedersachsen,NI
3402,200903402,2009,Emden,39.7,Niedersachsen,NI
3402,201303402,2013,Emden,51.300000000000004,Niedersachsen,NI
3402,201603402,2016,Emden,61.300000000000004,Niedersachsen,NI
3403,200003403,2000,Oldenburg,35.6,Niedersachsen,NI
3403,200503403,2005,Oldenburg,37.800000000000004,Niedersachsen,NI
3403,200903403,2009,Oldenburg,39.800000000000004,Niedersachsen,NI
3403,201303403,2013,Oldenburg,43.900000000000006,Niedersachsen,NI
3403,201603403,2016,Oldenburg,47.900000000000006,Niedersachsen,NI
3404,200003404,2000,Osnabrück,36.2,Niedersachsen,NI
3404,200503404,2005,Osnabrück,38.7,Niedersachsen,NI
3404,200903404,2009,Osnabrück,41.0,Niedersachsen,NI
3404,201303404,2013,Osnabrück,43.900000000000006,Niedersachsen,NI
3404,201603404,2016,Osnabrück,48.300000000000004,Niedersachsen,NI
3405,200003405,2000,Wilhelmshaven,45.2,Niedersachsen,NI
3405,200503405,2005,Wilhelmshaven,40.900000000000006,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,42.5,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,46.300000000000004,Niedersachsen,NI
3405,201603405,2016,Wilhelmshaven,48.400000000000006,Niedersachsen,NI
3451,200003451,2000,Landkreis Ammerland,29.400000000000002,Niedersachsen,NI
3451,200503451,2005,Landkreis Ammerland,31.3,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,35.0,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,40.400000000000006,Niedersachsen,NI
3451,201603451,2016,Landkreis Ammerland,42.400000000000006,Niedersachsen,NI
3452,200003452,2000,Landkreis Aurich,30.900000000000002,Niedersachsen,NI
3452,200503452,2005,Landkreis Aurich,34.1,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,35.0,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,38.900000000000006,Niedersachsen,NI
3452,201603452,2016,Landkreis Aurich,42.400000000000006,Niedersachsen,NI
3453,200003453,2000,Landkreis Cloppenburg,32.5,Niedersachsen,NI
3453,200503453,2005,Landkreis Cloppenburg,35.5,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,36.4,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,42.6,Niedersachsen,NI
3453,201603453,2016,Landkreis Cloppenburg,44.2,Niedersachsen,NI
3454,200003454,2000,Landkreis Emsland,36.800000000000004,Niedersachsen,NI
3454,200503454,2005,Landkreis Emsland,40.7,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,43.400000000000006,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,48.5,Niedersachsen,NI
3454,201603454,2016,Landkreis Emsland,51.6,Niedersachsen,NI
3455,200003455,2000,Landkreis Friesland,34.0,Niedersachsen,NI
3455,200503455,2005,Landkreis Friesland,33.800000000000004,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,34.800000000000004,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,39.2,Niedersachsen,NI
3455,201603455,2016,Landkreis Friesland,45.2,Niedersachsen,NI
3456,200003456,2000,Landkreis Grafschaft Bentheim,31.5,Niedersachsen,NI
3456,200503456,2005,Landkreis Grafschaft Bentheim,32.5,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,36.4,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,43.800000000000004,Niedersachsen,NI
3456,201603456,2016,Landkreis Grafschaft Bentheim,43.7,Niedersachsen,NI
3457,200003457,2000,Landkreis Leer,36.5,Niedersachsen,NI
3457,200503457,2005,Landkreis Leer,42.400000000000006,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,45.400000000000006,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,48.7,Niedersachsen,NI
3457,201603457,2016,Landkreis Leer,49.300000000000004,Niedersachsen,NI
3458,200003458,2000,Landkreis Oldenburg (Land),31.400000000000002,Niedersachsen,NI
3458,200503458,2005,Landkreis Oldenburg (Land),33.300000000000004,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),34.5,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),40.5,Niedersachsen,NI
3458,201603458,2016,Landkreis Oldenburg (Land),43.400000000000006,Niedersachsen,NI
3459,200003459,2000,Landkreis Osnabrück (Land),31.3,Niedersachsen,NI
3459,200503459,2005,Landkreis Osnabrück (Land),36.6,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),37.300000000000004,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),42.900000000000006,Niedersachsen,NI
3459,201603459,2016,Landkreis Osnabrück (Land),45.2,Niedersachsen,NI
3460,200003460,2000,Landkreis Vechta,33.7,Niedersachsen,NI
3460,200503460,2005,Landkreis Vechta,37.5,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,38.2,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,44.800000000000004,Niedersachsen,NI
3460,201603460,2016,Landkreis Vechta,46.300000000000004,Niedersachsen,NI
3461,200003461,2000,Landkreis Wesermarsch,39.1,Niedersachsen,NI
3461,200503461,2005,Landkreis Wesermarsch,48.2,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,51.7,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,49.0,Niedersachsen,NI
3461,201603461,2016,Landkreis Wesermarsch,57.0,Niedersachsen,NI
3462,200003462,2000,Landkreis Wittmund,30.700000000000003,Niedersachsen,NI
3462,200503462,2005,Landkreis Wittmund,32.800000000000004,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,33.0,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,38.6,Niedersachsen,NI
3462,201603462,2016,Landkreis Wittmund,42.7,Niedersachsen,NI
4011,200004011,2000,Bremen,40.800000000000004,Bremen,HB
4011,200504011,2005,Bremen,45.400000000000006,Bremen,HB
4011,200904011,2009,Bremen,46.2,Bremen,HB
4011,201304011,2013,Bremen,55.5,Bremen,HB
4011,201604011,2016,Bremen,58.800000000000004,Bremen,HB
4012,200004012,2000,Bremerhaven,35.1,Bremen,HB
4012,200504012,2005,Bremerhaven,39.7,Bremen,HB
4012,200904012,2009,Bremerhaven,40.2,Bremen,HB
4012,201304012,2013,Bremerhaven,39.6,Bremen,HB
4012,201604012,2016,Bremerhaven,47.1,Bremen,HB
5111,200005111,2000,Düsseldorf,47.800000000000004,Nordrhein-Westfalen,NW
5111,200505111,2005,Düsseldorf,53.2,Nordrhein-Westfalen,NW
5111,200905111,2009,Düsseldorf,56.5,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,63.6,Nordrhein-Westfalen,NW
5111,201605111,2016,Düsseldorf,67.3,Nordrhein-Westfalen,NW
