,YearSchluessel,Year,Stadt-/Landkreis,BIP je Erwerbstätigen in EUR,Veränderung des BIP zum Vorjahr in %,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
3241,201603241,2016,Hannover,73788.0,5.9,43240.0,Niedersachsen,NI
3251,200003251,2000,Landkreis Diepholz,48761.0,,20439.0,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,51653.0,-1.9000000000000001,21574.0,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,53432.0,-6.4,23024.0,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,60039.0,2.5,27681.0,Niedersachsen,NI
3251,201603251,2016,Landkreis Diepholz,64168.0,3.9000000000000004,29544.0,Niedersachsen,NI
3252,200003252,2000,Landkreis Hameln-Pyrmont,51195.0,,23725.0,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,54498.0,4.7,24137.0,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,60963.0,-4.1000000000000005,27672.0,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,65214.0,-1.4000000000000001,30499.0,Niedersachsen,NI
3252,201603252,2016,Landkreis Hameln-Pyrmont,68966.0,2.4000000000000004,32843.0,Niedersachsen,NI
3254,200003254,2000,Landkreis Hildesheim,43686.0,,19337.0,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,48569.0,-0.1,21033.0,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,50548.0,-4.5,21757.0,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,55800.0,-1.1,24922.0,Niedersachsen,NI
3254,201603254,2016,Landkreis Hildesheim,59906.0,2.8000000000000003,27137.0,Niedersachsen,NI
3255,200003255,2000,Landkreis Holzminden,47767.0,,19985.0,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,50843.0,0.30000000000000004,19675.0,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,55632.0,-3.3000000000000003,22304.0,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,67342.0,6.0,27922.0,Niedersachsen,NI
3255,201603255,2016,Landkreis Holzminden,70159.0,6.4,30057.0,Niedersachsen,NI
3256,200003256,2000,Landkreis Nienburg (Weser),48732.0,,21155.0,Niedersachsen,NI
3256,200503256,2005,Landkreis Nienburg (Weser),47169.0,-2.2,19928.0,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),50948.0,-3.7,21902.0,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),60909.0,6.2,27874.0,Niedersachsen,NI
3256,201603256,2016,Landkreis Nienburg (Weser),63401.0,-1.4000000000000001,29267.0,Niedersachsen,NI
3257,200003257,2000,Landkreis Schaumburg,47674.0,,17811.0,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,47992.0,-0.4,17698.0,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,47710.0,-3.4000000000000004,18478.0,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,55443.0,1.4000000000000001,21845.0,Niedersachsen,NI
3257,201603257,2016,Landkreis Schaumburg,59675.0,2.2,24110.0,Niedersachsen,NI
3351,200003351,2000,Landkreis Celle,51917.0,,22285.0,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,46783.0,-1.0,19461.0,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,53646.0,-1.3,23133.0,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,60232.0,1.5,27006.0,Niedersachsen,NI
3351,201603351,2016,Landkreis Celle,61988.0,0.1,28469.0,Niedersachsen,NI
3352,200003352,2000,Landkreis Cuxhaven,43828.0,,14543.0,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,47173.0,-0.8,15238.0,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,49032.0,-1.9000000000000001,16710.0,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,56817.0,2.9000000000000004,20590.0,Niedersachsen,NI
3352,201603352,2016,Landkreis Cuxhaven,59650.0,-1.8,21509.0,Niedersachsen,NI
3353,200003353,2000,Landkreis Harburg,49360.0,,15643.0,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,51042.0,0.30000000000000004,16114.0,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,54403.0,-1.1,18404.0,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,57880.0,-0.1,21264.0,Niedersachsen,NI
3353,201603353,2016,Landkreis Harburg,62626.0,1.2000000000000002,23393.0,Niedersachsen,NI
3354,200003354,2000,Landkreis Lüchow-Dannenberg,40744.0,,15656.0,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,45021.0,-0.9,16841.0,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,46642.0,-7.2,17669.0,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,54797.0,7.1000000000000005,21988.0,Niedersachsen,NI
3354,201603354,2016,Landkreis Lüchow-Dannenberg,60474.0,6.5,24523.0,Niedersachsen,NI
3355,200003355,2000,Landkreis Lüneburg,44490.0,,18870.0,Niedersachsen,NI
3355,200503355,2005,Landkreis Lüneburg,48461.0,2.2,19911.0,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,47965.0,-2.2,20848.0,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,53868.0,5.9,24255.0,Niedersachsen,NI
3355,201603355,2016,Landkreis Lüneburg,58511.0,1.8,26597.0,Niedersachsen,NI
3356,200003356,2000,Landkreis Osterholz,43943.0,,14379.0,Niedersachsen,NI
3356,200503356,2005,Landkreis Osterholz,48176.0,-3.0,15196.0,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,47878.0,-1.0,16214.0,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,51842.0,-0.5,17870.0,Niedersachsen,NI
3356,201603356,2016,Landkreis Osterholz,57821.0,5.4,19735.0,Niedersachsen,NI
3357,200003357,2000,Landkreis Rotenburg (Wümme),42471.0,,19331.0,Niedersachsen,NI
3357,200503357,2005,Landkreis Rotenburg (Wümme),45518.0,1.4000000000000001,20068.0,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),49470.0,-3.0,23577.0,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),60261.0,5.6000000000000005,29878.0,Niedersachsen,NI
3357,201603357,2016,Landkreis Rotenburg (Wümme),63060.0,2.0,31552.0,Niedersachsen,NI
3358,200003358,2000,Landkreis Heidekreis,44585.0,,21530.0,Niedersachsen,NI
3358,200503358,2005,Landkreis Heidekreis,50014.0,-3.7,23879.0,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,51749.0,0.30000000000000004,26254.0,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,56011.0,-0.6000000000000001,28797.0,Niedersachsen,NI
3358,201603358,2016,Landkreis Heidekreis,60494.0,0.9,30694.0,Niedersachsen,NI
3359,200003359,2000,Landkreis Stade,55000.0,,22316.0,Niedersachsen,NI
3359,200503359,2005,Landkreis Stade,60522.0,7.6000000000000005,24606.0,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,58530.0,-3.4000000000000004,24756.0,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,61433.0,4.5,27616.0,Niedersachsen,NI
3359,201603359,2016,Landkreis Stade,68570.0,2.9000000000000004,30357.0,Niedersachsen,NI
3360,200003360,2000,Landkreis Uelzen,41482.0,,17327.0,Niedersachsen,NI
3360,200503360,2005,Landkreis Uelzen,44027.0,-3.0,17980.0,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,48507.0,-4.2,20970.0,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,54105.0,1.5,24090.0,Niedersachsen,NI
3360,201603360,2016,Landkreis Uelzen,58396.0,4.0,26309.0,Niedersachsen,NI
3361,200003361,2000,Landkreis Verden,52183.0,,22252.0,Niedersachsen,NI
3361,200503361,2005,Landkreis Verden,51170.0,0.2,21501.0,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,56574.0,-0.7000000000000001,24370.0,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,62097.0,4.2,28396.0,Niedersachsen,NI
3361,201603361,2016,Landkreis Verden,64808.0,2.8000000000000003,29941.0,Niedersachsen,NI
3401,200003401,2000,Delmenhorst,37207.0,,16086.0,Niedersachsen,NI
3401,200503401,2005,Delmenhorst,42468.0,0.6000000000000001,17856.0,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,42773.0,0.4,19522.0,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,46680.0,-0.30000000000000004,20745.0,Niedersachsen,NI
3401,201603401,2016,Delmenhorst,51817.0,1.7000000000000002,22502.0,Niedersachsen,NI
3402,200003402,2000,Emden,60231.0,,45059.0,Niedersachsen,NI
3402,200503402,2005,Emden,59490.0,5.5,42332.0,Niedersachsen,NI
3402,200903402,2009,Emden,56212.0,-6.2,42859.0,Niedersachsen,NI
3402,201303402,2013,Emden,70390.0,1.4000000000000001,57075.0,Niedersachsen,NI
3402,201603402,2016,Emden,84697.0,28.3,70448.0,Niedersachsen,NI
3403,200003403,2000,Oldenburg,52557.0,,34435.0,Niedersachsen,NI
3403,200503403,2005,Oldenburg,54978.0,0.4,35570.0,Niedersachsen,NI
3403,200903403,2009,Oldenburg,60127.0,6.5,40891.0,Niedersachsen,NI
3403,201303403,2013,Oldenburg,57997.0,-1.1,40332.0,Niedersachsen,NI
3403,201603403,2016,Oldenburg,63112.0,6.0,43934.0,Niedersachsen,NI
3404,200003404,2000,Osnabrück,52980.0,,39398.0,Niedersachsen,NI
3404,200503404,2005,Osnabrück,54274.0,-2.0,39865.0,Niedersachsen,NI
3404,200903404,2009,Osnabrück,51988.0,-11.9,39848.0,Niedersachsen,NI
3404,201303404,2013,Osnabrück,57588.0,3.5,45572.0,Niedersachsen,NI
3404,201603404,2016,Osnabrück,62866.0,1.7000000000000002,48732.0,Niedersachsen,NI
3405,200003405,2000,Wilhelmshaven,53581.0,,30885.0,Niedersachsen,NI
3405,200503405,2005,Wilhelmshaven,52436.0,-5.7,30303.0,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,58580.0,-3.0,36039.0,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,62943.0,0.0,36899.0,Niedersachsen,NI
3405,201603405,2016,Wilhelmshaven,65969.0,-0.4,38804.0,Niedersachsen,NI
3451,200003451,2000,Landkreis Ammerland,42670.0,,18659.0,Niedersachsen,NI
3451,200503451,2005,Landkreis Ammerland,44133.0,-1.5,18981.0,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,49358.0,0.6000000000000001,21979.0,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,55674.0,4.9,26168.0,Niedersachsen,NI
3451,201603451,2016,Landkreis Ammerland,58105.0,3.0,27862.0,Niedersachsen,NI
3452,200003452,2000,Landkreis Aurich,43469.0,,16026.0,Niedersachsen,NI
3452,200503452,2005,Landkreis Aurich,46582.0,1.0,16616.0,Niedersachsen,NI
