,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote Männer in %,Beschäftigtenquote Frauen in %,Index Beschäftigtenquote,LAND_NAME,LAND_ABK
3251,201703251,2017,Landkreis Diepholz,66.5,57.7,86.7,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,63.7,52.5,82.4,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,58.5,46.900000000000006,80.2,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,62.0,56.5,91.10000000000001,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,58.5,51.800000000000004,88.4,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,52.800000000000004,47.800000000000004,90.60000000000001,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,61.2,54.300000000000004,88.80000000000001,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,58.1,50.1,86.2,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,53.900000000000006,45.800000000000004,85.0,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,60.6,52.300000000000004,86.2,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,57.900000000000006,46.7,80.7,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,55.800000000000004,43.800000000000004,78.5,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),64.7,55.6,86.0,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),61.300000000000004,50.400000000000006,82.10000000000001,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),56.6,45.7,80.80000000000001,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,60.800000000000004,54.300000000000004,89.2,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,57.900000000000006,49.7,85.9,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,53.2,44.6,83.80000000000001,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,59.300000000000004,54.900000000000006,92.5,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,56.7,50.300000000000004,88.60000000000001,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,51.800000000000004,45.900000000000006,88.60000000000001,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,61.0,53.7,88.0,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,58.1,48.5,83.5,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,54.2,44.400000000000006,81.9,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,65.0,58.400000000000006,89.9,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,63.5,54.2,85.30000000000001,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,57.2,48.400000000000006,84.60000000000001,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,55.300000000000004,50.300000000000004,90.9,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,51.400000000000006,44.2,86.10000000000001,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,47.2,40.5,85.7,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,57.800000000000004,53.6,92.7,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,55.300000000000004,50.800000000000004,91.7,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,50.2,46.400000000000006,92.4,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,65.10000000000001,56.400000000000006,86.7,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,61.800000000000004,51.400000000000006,83.2,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,57.300000000000004,46.5,81.10000000000001,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),63.800000000000004,57.6,90.2,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),61.1,51.800000000000004,84.80000000000001,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),57.1,47.400000000000006,82.9,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,61.0,55.6,91.2,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,60.0,51.7,86.10000000000001,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,54.0,47.5,87.9,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,66.7,54.300000000000004,81.5,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,64.60000000000001,49.7,76.80000000000001,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,59.2,45.0,76.10000000000001,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,58.0,55.0,94.7,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,54.6,50.0,91.5,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,51.1,46.0,89.9,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,65.8,56.7,86.10000000000001,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,63.0,52.2,82.9,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,58.5,47.800000000000004,81.7,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,58.400000000000006,48.400000000000006,82.9,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,60.7,48.400000000000006,79.7,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,56.1,44.300000000000004,79.10000000000001,Niedersachsen,NI
3402,201703402,2017,Emden,61.0,48.2,79.0,Niedersachsen,NI
3402,201303402,2013,Emden,59.6,42.900000000000006,72.10000000000001,Niedersachsen,NI
3402,200903402,2009,Emden,51.900000000000006,36.800000000000004,71.0,Niedersachsen,NI
3403,201703403,2017,Oldenburg,57.5,51.800000000000004,90.10000000000001,Niedersachsen,NI
3403,201303403,2013,Oldenburg,54.6,49.2,90.10000000000001,Niedersachsen,NI
3403,200903403,2009,Oldenburg,46.6,45.2,96.9,Niedersachsen,NI
